"unit","mot_nrg","geo","time","values"
"NR","ALT","AT",2017,5868
"NR","ALT","BE",2017,5418
"NR","ALT","CH",2017,5700
"NR","ALT","CY",2017,57
"NR","ALT","DE",2017,143474
"NR","ALT","EE",2017,35
"NR","ALT","ES",2017,12646
"NR","ALT","FI",2017,936
"NR","ALT","FR",2017,26872
"NR","ALT","HR",2017,1542
"NR","ALT","HU",2017,10420
"NR","ALT","IE",2017,5444
"NR","ALT","IT",2017,163320
"NR","ALT","LT",2017,3301
"NR","ALT","LV",2017,130
"NR","ALT","MT",2017,98
"NR","ALT","NL",2017,10433
"NR","ALT","NO",2017,41681
"NR","ALT","PL",2017,116948
"NR","ALT","PT",2017,6248
"NR","ALT","RO",2017,5549
"NR","ALT","SE",2017,9477
"NR","ALT","SI",2017,1838
"NR","ALT","TR",2017,25508
"NR","ALT","UK",2017,13744
"NR","BIFUEL","AT",2017,321
"NR","BIFUEL","CH",2017,600
"NR","BIFUEL","CY",2017,0
"NR","BIFUEL","FI",2017,368
"NR","BIFUEL","FR",2017,1032
"NR","BIFUEL","HR",2017,822
"NR","BIFUEL","HU",2017,1217
"NR","BIFUEL","LT",2017,0
"NR","BIFUEL","LV",2017,0
"NR","BIFUEL","MT",2017,44
"NR","BIFUEL","PL",2017,0
"NR","BIFUEL","PT",2017,0
"NR","BIFUEL","SE",2017,3190
"NR","BIFUEL","TR",2017,0
"NR","BIFUEL","UK",2017,11
"NR","BIODIE","CH",2017,0
"NR","BIODIE","CY",2017,0
"NR","BIODIE","ES",2017,0
"NR","BIODIE","HU",2017,0
"NR","BIODIE","LT",2017,0
"NR","BIODIE","LV",2017,0
"NR","BIODIE","MT",2017,0
"NR","BIODIE","PL",2017,0
"NR","BIODIE","PT",2017,0
"NR","BIODIE","SE",2017,0
"NR","BIODIE","TR",2017,0
"NR","BIOETH","CH",2017,0
"NR","BIOETH","CY",2017,0
"NR","BIOETH","FI",2017,1
"NR","BIOETH","FR",2017,746
"NR","BIOETH","HU",2017,0
"NR","BIOETH","LT",2017,0
"NR","BIOETH","LV",2017,0
"NR","BIOETH","MT",2017,0
"NR","BIOETH","PL",2017,11
"NR","BIOETH","PT",2017,0
"NR","BIOETH","SE",2017,0
"NR","BIOETH","TR",2017,0
"NR","DIE","AT",2017,175590
"NR","DIE","BE",2017,259790
"NR","DIE","CH",2017,114100
"NR","DIE","CY",2017,15478
"NR","DIE","DE",2017,1336776
"NR","DIE","DK",2017,77495
"NR","DIE","EE",2017,6409
"NR","DIE","ES",2017,680575
"NR","DIE","FI",2017,36216
"NR","DIE","FR",2017,979495
"NR","DIE","HR",2017,71385
"NR","DIE","HU",2017,113161
"NR","DIE","IE",2017,87640
"NR","DIE","LT",2017,110328
"NR","DIE","LV",2017,7446
"NR","DIE","MT",2017,6865
"NR","DIE","NL",2017,72267
"NR","DIE","NO",2017,46970
"NR","DIE","PL",2017,500112
"NR","DIE","PT",2017,139106
"NR","DIE","RO",2017,422731
"NR","DIE","SE",2017,192191
"NR","DIE","SI",2017,32410
"NR","DIE","TR",2017,457069
"NR","DIE","UK",2017,1049086
"NR","DIE_X_HYB","AT",2017,175458
"NR","DIE_X_HYB","BE",2017,258956
"NR","DIE_X_HYB","CH",2017,113800
"NR","DIE_X_HYB","CY",2017,15478
"NR","DIE_X_HYB","EE",2017,6408
"NR","DIE_X_HYB","ES",2017,680355
"NR","DIE_X_HYB","FI",2017,36062
"NR","DIE_X_HYB","FR",2017,978185
"NR","DIE_X_HYB","HR",2017,71385
"NR","DIE_X_HYB","HU",2017,113161
"NR","DIE_X_HYB","IE",2017,87640
"NR","DIE_X_HYB","IT",2017,1130434
"NR","DIE_X_HYB","LT",2017,110312
"NR","DIE_X_HYB","LV",2017,7445
"NR","DIE_X_HYB","MT",2017,6858
"NR","DIE_X_HYB","NO",2017,44349
"NR","DIE_X_HYB","PL",2017,500112
"NR","DIE_X_HYB","PT",2017,138712
"NR","DIE_X_HYB","SE",2017,191059
"NR","DIE_X_HYB","SI",2017,32410
"NR","DIE_X_HYB","TR",2017,457060
"NR","DIE_X_HYB","UK",2017,1047685
"NR","ELC","AT",2017,5433
"NR","ELC","BE",2017,2717
"NR","ELC","CH",2017,4900
"NR","ELC","CY",2017,44
"NR","ELC","DE",2017,25056
"NR","ELC","EE",2017,26
"NR","ELC","ES",2017,7175
"NR","ELC","FI",2017,502
"NR","ELC","FR",2017,24910
"NR","ELC","HR",2017,55
"NR","ELC","HU",2017,1262
"NR","ELC","IE",2017,631
"NR","ELC","LT",2017,283
"NR","ELC","LV",2017,41
"NR","ELC","MT",2017,53
"NR","ELC","NL",2017,7958
"NR","ELC","NO",2017,41583
"NR","ELC","PL",2017,12179
"NR","ELC","PT",2017,1912
"NR","ELC","RO",2017,3652
"NR","ELC","SE",2017,4359
"NR","ELC","SI",2017,297
"NR","ELC","TR",2017,117
"NR","ELC","UK",2017,13727
"NR","ELC_DIE_HYB","AT",2017,43
"NR","ELC_DIE_HYB","BE",2017,834
"NR","ELC_DIE_HYB","CH",2017,300
"NR","ELC_DIE_HYB","CY",2017,0
"NR","ELC_DIE_HYB","EE",2017,1
"NR","ELC_DIE_HYB","ES",2017,207
"NR","ELC_DIE_HYB","FI",2017,2
"NR","ELC_DIE_HYB","FR",2017,1023
"NR","ELC_DIE_HYB","HU",2017,0
"NR","ELC_DIE_HYB","LV",2017,1
"NR","ELC_DIE_HYB","MT",2017,7
"NR","ELC_DIE_HYB","NO",2017,30
"NR","ELC_DIE_HYB","PT",2017,394
"NR","ELC_DIE_HYB","SE",2017,17
"NR","ELC_DIE_HYB","TR",2017,9
"NR","ELC_DIE_HYB","UK",2017,783
"NR","ELC_DIE_PI","AT",2017,89
"NR","ELC_DIE_PI","CY",2017,0
"NR","ELC_DIE_PI","ES",2017,13
"NR","ELC_DIE_PI","FI",2017,152
"NR","ELC_DIE_PI","FR",2017,287
"NR","ELC_DIE_PI","HU",2017,0
"NR","ELC_DIE_PI","LT",2017,16
"NR","ELC_DIE_PI","LV",2017,0
"NR","ELC_DIE_PI","NO",2017,2591
"NR","ELC_DIE_PI","SE",2017,1115
"NR","ELC_DIE_PI","TR",2017,0
"NR","ELC_DIE_PI","UK",2017,618
"NR","ELC_PET_HYB","AT",2017,6529
"NR","ELC_PET_HYB","BE",2017,23458
"NR","ELC_PET_HYB","CH",2017,11600
"NR","ELC_PET_HYB","CY",2017,1349
"NR","ELC_PET_HYB","EE",2017,1186
"NR","ELC_PET_HYB","ES",2017,55220
"NR","ELC_PET_HYB","FI",2017,8512
"NR","ELC_PET_HYB","FR",2017,68654
"NR","ELC_PET_HYB","HU",2017,0
"NR","ELC_PET_HYB","LV",2017,17
"NR","ELC_PET_HYB","MT",2017,272
"NR","ELC_PET_HYB","NL",2017,20733
"NR","ELC_PET_HYB","NO",2017,21105
"NR","ELC_PET_HYB","PT",2017,4319
"NR","ELC_PET_HYB","SE",2017,18380
"NR","ELC_PET_HYB","TR",2017,385
"NR","ELC_PET_HYB","UK",2017,70123
"NR","ELC_PET_PI","AT",2017,1632
"NR","ELC_PET_PI","CY",2017,0
"NR","ELC_PET_PI","ES",2017,328
"NR","ELC_PET_PI","FI",2017,2401
"NR","ELC_PET_PI","FR",2017,11575
"NR","ELC_PET_PI","HU",2017,0
"NR","ELC_PET_PI","LT",2017,2867
"NR","ELC_PET_PI","LV",2017,0
"NR","ELC_PET_PI","NO",2017,30879
"NR","ELC_PET_PI","SE",2017,14874
"NR","ELC_PET_PI","TR",2017,0
"NR","ELC_PET_PI","UK",2017,34225
"NR","GAS","AT",2017,114
"NR","GAS","BE",2017,741
"NR","GAS","CH",2017,100
"NR","GAS","CY",2017,0
"NR","GAS","DE",2017,3723
"NR","GAS","EE",2017,9
"NR","GAS","ES",2017,1310
"NR","GAS","FI",2017,65
"NR","GAS","FR",2017,26
"NR","GAS","HR",2017,1
"NR","GAS","HU",2017,135
"NR","GAS","IT",2017,32659
"NR","GAS","LT",2017,0
"NR","GAS","LV",2017,11
"NR","GAS","MT",2017,0
"NR","GAS","NL",2017,1268
"NR","GAS","NO",2017,37
"NR","GAS","PL",2017,313
"NR","GAS","PT",2017,7
"NR","GAS","RO",2017,424
"NR","GAS","SE",2017,781
"NR","GAS","SI",2017,43
"NR","GAS","TR",2017,0
"NR","GAS","UK",2017,3
"NR","HYD_FCELL","AT",2017,0
"NR","HYD_FCELL","CH",2017,0
"NR","HYD_FCELL","CY",2017,0
"NR","HYD_FCELL","ES",2017,2
"NR","HYD_FCELL","FI",2017,0
"NR","HYD_FCELL","FR",2017,0
"NR","HYD_FCELL","HU",2017,0
"NR","HYD_FCELL","LT",2017,0
"NR","HYD_FCELL","LV",2017,0
"NR","HYD_FCELL","MT",2017,0
"NR","HYD_FCELL","NL",2017,6
"NR","HYD_FCELL","NO",2017,56
"NR","HYD_FCELL","PL",2017,36
"NR","HYD_FCELL","PT",2017,0
"NR","HYD_FCELL","SE",2017,14
"NR","HYD_FCELL","TR",2017,0
