"unit","geo","time","values"
"PER_KM2","AL",2017,99.8
"PER_KM2","AL0",2017,99.8
"PER_KM2","AL01",2017,76.1
"PER_KM2","AL011",2017,49.9
"PER_KM2","AL012",2017,373
"PER_KM2","AL013",2017,32.8
"PER_KM2","AL014",2017,77
"PER_KM2","AL015",2017,58.5
"PER_KM2","AL02",2017,232.4
"PER_KM2","AL021",2017,84.8
"PER_KM2","AL022",2017,528.2
"PER_KM2","AL03",2017,68.9
"PER_KM2","AL031",2017,72
"PER_KM2","AL032",2017,159.5
"PER_KM2","AL033",2017,22.4
"PER_KM2","AL034",2017,56.9
"PER_KM2","AL035",2017,69.9
"PER_KM2","AT",2017,106.8
"PER_KM2","AT1",2017,167
"PER_KM2","AT11",2017,79.7
"PER_KM2","AT111",2017,54.3
"PER_KM2","AT112",2017,103.1
"PER_KM2","AT113",2017,67.2
"PER_KM2","AT12",2017,88.2
"PER_KM2","AT121",2017,74.4
"PER_KM2","AT122",2017,77.4
"PER_KM2","AT123",2017,127
"PER_KM2","AT124",2017,48.1
"PER_KM2","AT125",2017,52.3
"PER_KM2","AT126",2017,122.4
"PER_KM2","AT127",2017,234.7
"PER_KM2","AT13",2017,4754.9
"PER_KM2","AT130",2017,4754.9
"PER_KM2","AT2",2017,70.3
"PER_KM2","AT21",2017,59.9
"PER_KM2","AT211",2017,146.1
"PER_KM2","AT212",2017,30.7
"PER_KM2","AT213",2017,45
"PER_KM2","AT22",2017,76.2
"PER_KM2","AT221",2017,358.9
"PER_KM2","AT222",2017,24.8
"PER_KM2","AT223",2017,49.6
"PER_KM2","AT224",2017,80
"PER_KM2","AT225",2017,88.3
"PER_KM2","AT226",2017,33.1
"PER_KM2","AT3",2017,93.4
"PER_KM2","AT31",2017,125.4
"PER_KM2","AT311",2017,102.5
"PER_KM2","AT312",2017,343.5
"PER_KM2","AT313",2017,79.2
"PER_KM2","AT314",2017,70.1
"PER_KM2","AT315",2017,98.9
"PER_KM2","AT32",2017,78.1
"PER_KM2","AT321",2017,20.2
"PER_KM2","AT322",2017,38.4
"PER_KM2","AT323",2017,215.6
"PER_KM2","AT33",2017,59.8
"PER_KM2","AT331",2017,26.8
"PER_KM2","AT332",2017,148.8
"PER_KM2","AT333",2017,24.4
"PER_KM2","AT334",2017,31.5
"PER_KM2","AT335",2017,64.8
"PER_KM2","AT34",2017,154
"PER_KM2","AT341",2017,49.1
"PER_KM2","AT342",2017,439.9
"PER_KM2","BE",2017,373.6
"PER_KM2","BE1",2017,7421.6
"PER_KM2","BE10",2017,7421.6
"PER_KM2","BE100",2017,7421.6
"PER_KM2","BE2",2017,487.2
"PER_KM2","BE21",2017,657.7
"PER_KM2","BE211",2017,1087.9
"PER_KM2","BE212",2017,685.1
"PER_KM2","BE213",2017,340.4
"PER_KM2","BE22",2017,364.5
"PER_KM2","BE221",2017,478.1
"PER_KM2","BE222",2017,277.4
"PER_KM2","BE223",2017,323.6
"PER_KM2","BE23",2017,505.8
"PER_KM2","BE231",2017,609.2
"PER_KM2","BE232",2017,590.3
"PER_KM2","BE233",2017,253.1
"PER_KM2","BE234",2017,591.3
"PER_KM2","BE235",2017,292.4
"PER_KM2","BE236",2017,542.5
"PER_KM2","BE24",2017,536.7
"PER_KM2","BE241",2017,665.6
"PER_KM2","BE242",2017,432.1
"PER_KM2","BE25",2017,377.9
"PER_KM2","BE251",2017,432.2
"PER_KM2","BE252",2017,141.1
"PER_KM2","BE253",2017,192.6
"PER_KM2","BE254",2017,711.3
"PER_KM2","BE255",2017,535.3
"PER_KM2","BE256",2017,552.7
"PER_KM2","BE257",2017,279
"PER_KM2","BE258",2017,221.8
"PER_KM2","BE3",2017,215.3
"PER_KM2","BE31",2017,365.2
"PER_KM2","BE310",2017,365.2
"PER_KM2","BE32",2017,353.4
"PER_KM2","BE321",2017,177.1
"PER_KM2","BE322",2017,771.4
"PER_KM2","BE323",2017,443.1
"PER_KM2","BE324",2017,746.1
"PER_KM2","BE325",2017,367.2
"PER_KM2","BE326",2017,162.8
"PER_KM2","BE327",2017,241.2
"PER_KM2","BE33",2017,288.5
"PER_KM2","BE331",2017,172.1
"PER_KM2","BE332",2017,796
"PER_KM2","BE334",2017,206.8
"PER_KM2","BE335",2017,181.2
"PER_KM2","BE336",2017,91.7
"PER_KM2","BE34",2017,63.8
"PER_KM2","BE341",2017,195.7
"PER_KM2","BE342",2017,46.6
"PER_KM2","BE343",2017,59.3
"PER_KM2","BE344",2017,46.5
"PER_KM2","BE345",2017,68.9
"PER_KM2","BE35",2017,135
"PER_KM2","BE351",2017,70
"PER_KM2","BE352",2017,271.6
"PER_KM2","BE353",2017,73.9
"PER_KM2","BG",2017,64.3
"PER_KM2","BG3",2017,52.4
"PER_KM2","BG31",2017,40.5
"PER_KM2","BG311",2017,29.4
"PER_KM2","BG312",2017,37.3
"PER_KM2","BG313",2017,46.7
"PER_KM2","BG314",2017,53.8
"PER_KM2","BG315",2017,31.1
"PER_KM2","BG32",2017,54.6
"PER_KM2","BG321",2017,52.1
"PER_KM2","BG322",2017,55.2
"PER_KM2","BG323",2017,79.2
"PER_KM2","BG324",2017,47.6
