"Place","Acronym","Country","Year","Variable","Indicator","Value"
"Bruxelles / Brussel","BE001C1","BE",2017,"Total nights spent in tourist accommodation establishments","CR2001V",6335177
"Oostende","BE011C1","BE",2017,"Total nights spent in tourist accommodation establishments","CR2001V",1286214
"Bruxelles / Brussel","BE001C1","BE",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",38578
"Oostende","BE011C1","BE",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",6706
"Bruxelles / Brussel","BE001C1","BE",2017,"Number of available beds per 1000 residents","CR2010I",32.2
"Oostende","BE011C1","BE",2017,"Number of available beds per 1000 residents","CR2010I",94.2
"Bruxelles / Brussel","BE001C1","BE",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",5.3
"Oostende","BE011C1","BE",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",18.1
"Varna","BG003C1","BG",2017,"Total nights spent in tourist accommodation establishments","CR2001V",5027527
"Varna","BG003C1","BG",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",59484
"Varna","BG003C1","BG",2017,"Number of available beds per 1000 residents","CR2010I",177.5
"Varna","BG003C1","BG",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",15
"Hamburg","DE002C1","DE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",25
"Frankfurt am Main","DE005C1","DE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",14
"Stuttgart","DE007C1","DE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",16
"Dresden","DE009C1","DE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",20
"Dortmund","DE010C1","DE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",20
"Tallinn","EE001C1","EE",2017,"Number of cinema seats (total capacity)","CR1003V",5167
"Tallinn","EE001C1","EE",2017,"Number of theatres","CR1008V",16
"Tallinn","EE001C1","EE",2017,"Number of public libraries (all distribution points)","CR1010V",20
"Tallinn","EE001C1","EE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",20
"Tallinn","EE001C1","EE",2017,"Total nights spent in tourist accommodation establishments","CR2001V",3099102
"Tallinn","EE001C1","EE",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",18234
"Tallinn","EE001C1","EE",2017,"Number of available beds per 1000 residents","CR2010I",42.7
"Tallinn","EE001C1","EE",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",7.3
"Madrid","ES001C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",21144254
"Barcelona","ES002C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",20428815
"Sevilla","ES004C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",5931524
"Palma de Mallorca","ES010C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",9106285
"Gandia","ES046C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",1658157
"Benidorm","ES054C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",16603087
"Fuengirola","ES060C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",3216365
"Torremolinos","ES068C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",5576645
"Marbella","ES533C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",4314312
"Benalm<e1>dena","ES539C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",4432167
"Chiclana de la Frontera","ES540C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",2202819
"Eivissa","ES543C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",1991478
"Puerto de la Cruz","ES550C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",5878859
"Madrid","ES001C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",95537
"Barcelona","ES002C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",84057
"Sevilla","ES004C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",25946
"Palma de Mallorca","ES010C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",47727
"Gandia","ES046C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",15061
"Benidorm","ES054C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",79339
"Fuengirola","ES060C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",15341
"Torremolinos","ES068C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",25646
"Marbella","ES533C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",27605
"Benalm<e1>dena","ES539C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",21801
"Chiclana de la Frontera","ES540C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",14381
"Eivissa","ES543C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",14114
"Puerto de la Cruz","ES550C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",21442
"Madrid","ES001C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",30
"Barcelona","ES002C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",51.9
"Sevilla","ES004C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",37.6
"Palma de Mallorca","ES010C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",117.4
"Gandia","ES046C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",203.2
"Benidorm","ES054C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",1187.2
"Fuengirola","ES060C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",204.7
"Torremolinos","ES068C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",378.8
"Marbella","ES533C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",195.5
"Benalm<e1>dena","ES539C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",316.6
"Chiclana de la Frontera","ES540C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",173
"Eivissa","ES543C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",284
"Puerto de la Cruz","ES550C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",713.9
"Madrid","ES001C1","ES",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",6.6
"Barcelona","ES002C1","ES",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",12.6
