"Place","Acronym","CountryCode","Year","Variable","Indicator","Value","Country","Population","lat","long","Capital"
"Barcelona","ES002C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",20428815,"Spain",1591485,41.4,2.17,0
"Barcelona","ES002C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",84057,"Spain",1591485,41.4,2.17,0
"Benalmadena","ES539C1","ES",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",64.4,"Spain",47863,36.6,-4.57,0
"Benidorm","ES054C1","ES",2017,"Number of available beds per 1000 residents","CR2010I",1187.2,"Spain",70088,38.55,-0.14,0
"Benidorm","ES054C1","ES",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",248.4,"Spain",70088,38.55,-0.14,0
"Benidorm","ES054C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",16603087,"Spain",70088,38.55,-0.14,0
"Benidorm","ES054C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",79339,"Spain",70088,38.55,-0.14,0
"Bordeaux","FR007C1","FR",2017,"Number of cinema seats (total capacity)","CR1003V",15894,"France",234086,44.84,-0.58,0
"Brasov","RO504C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",67,"Romania",273247,45.66,25.61,0
"Bratislava","SK001C1","SK",2017,"Number of theatres","CR1008V",38,"Slovakia",422452,48.16,17.13,1
"Bucharest","RO001C1","RO",2017,"Number of theatres","CR1008V",43,"Romania",1883425,44.43,26.1,1
"Bucharest","RO001C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",339,"Romania",1883425,44.43,26.1,1
"Budapest","HU001C1","HU",2017,"Total nights spent in tourist accommodation establishments","CR2001V",10071847,"Hungary",1700019,47.51,19.08,1
"Budapest","HU001C1","HU",2017,"Number of cinema seats (total capacity)","CR1003V",26641,"Hungary",1700019,47.51,19.08,1
"Budapest","HU001C1","HU",2017,"Number of theatres","CR1008V",95,"Hungary",1700019,47.51,19.08,1
"Budapest","HU001C1","HU",2017,"Number of public libraries (all distribution points)","CR1010V",278,"Hungary",1700019,47.51,19.08,1
"Cluj-Napoca","RO002C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",99,"Romania",316129,46.78,23.59,0
"Constanta","RO501C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",87,"Romania",300704,44.18,28.63,0
"Craiova","RO004C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",85,"Romania",304449,44.33,23.82,0
"Dortmund","DE010C1","DE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",20,"Germany",587233,51.51,7.48,0
"Dresden","DE009C1","DE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",20,"Germany",489883,51.05,13.74,0
"Eivissa","ES543C1","ES",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",40.1,"Spain",43845,38.91,1.42,0
"Florence","IT007C1","IT",2017,"Total nights spent in tourist accommodation establishments","CR2001V",10056157,"Italy",374479,43.78,11.24,0
"Fuengirola","ES060C1","ES",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",42.9,"Spain",64010,36.55,-4.64,0
"Funchal","PT004C1","PT",2017,"Total nights spent in tourist accommodation establishments per resident population","CR2011I",52.1,"Madeira",96893,32.65,-16.9,0
"Gothenburg","SE002C1","SE",2017,"Number of available beds per 1000 residents","CR2010I",466.9,"Sweden",575597,57.7,11.97,0
"Gothenburg","SE002C1","SE",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",259922,"Sweden",575597,57.7,11.97,0
"Galati","RO503C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",66,"Romania",292307,45.44,28.04,0
"Hamburg","DE002C1","DE",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",25,"Germany",1743891,53.55,10,0
"Iasi","RO502C1","RO",2017,"Number of public libraries (all distribution points)","CR1010V",100,"Romania",316542,47.17,27.57,0
"Jonkoping","SE004C1","SE",2017,"Number of available beds per 1000 residents","CR2010I",408.2,"Sweden",83501,57.78,14.17,0
"Lille","FR009C1","FR",2017,"Number of cinema seats (total capacity)","CR1003V",17744,"France",234464,50.64,3.07,0
"Lille","FR009C1","FR",2017,"Number of theatres","CR1008V",20,"France",234464,50.64,3.07,0
"Lille","FR009C1","FR",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",23,"France",234464,50.64,3.07,0
"Lisbon","PT001C1","PT",2017,"Total nights spent in tourist accommodation establishments","CR2001V",12553476,"Portugal",508209,38.72,-9.14,1
"Lisbon","PT001C1","PT",2017,"Number of cinema seats (total capacity)","CR1003V",13153,"Portugal",508209,38.72,-9.14,1
"Lisbon","PT001C1","PT",2017,"Number of theatres","CR1008V",44,"Portugal",508209,38.72,-9.14,1
"Lyon","FR003C2","FR",2017,"Number of cinema seats (total capacity)","CR1003V",24061,"France",475995,45.76,4.83,0
"Lyon","FR003C2","FR",2017,"Number of theatres","CR1008V",33,"France",475995,45.76,4.83,0
"Lyon","FR003C2","FR",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",38,"France",475995,45.76,4.83,0
"Madrid","ES001C1","ES",2017,"Total nights spent in tourist accommodation establishments","CR2001V",21144254,"Spain",3146804,40.42,-3.71,1
"Madrid","ES001C1","ES",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",95537,"Spain",3146804,40.42,-3.71,1
"Malmo","SE003C1","SE",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",117600,"Sweden",264175,55.61,13.02,0
"Marseille","FR203C1","FR",2017,"Number of theatres","CR1008V",19,"France",793352,43.31,5.37,0
"Marseille","FR203C1","FR",2017,"Number of public swimming pools (indoor and outdoor, excluding beaches)","CR1015V",31,"France",793352,43.31,5.37,0
"Massa","IT047C1","IT",2017,"Number of available beds per 1000 residents","CR2010I",383.3,"Italy",70480,44.06,10.15,0
"Milan","IT002C1","IT",2017,"Total nights spent in tourist accommodation establishments","CR2001V",11852973,"Italy",1316218,45.48,9.19,0
"Milan","IT002C1","IT",2017,"Number of bed-places in tourist accommodation establishments","CR2009V",69008,"Italy",1316218,45.48,9.19,0
"Nantes","FR008C1","FR",2017,"Number of cinema seats (total capacity)","CR1003V",11636,"France",277979,47.23,-1.57,0
