"City","Time","Average_Temp","Min_Temp","Max_Temp","Humidity","Wind_Speed","Rain"
"Barcelona",2019-10-13 12:00:00,24.9,23.6,24.9,60,4.3,0.1
"Barcelona",2019-10-13 15:00:00,23.8,22.8,23.8,68,4.3,0
"Barcelona",2019-10-13 18:00:00,21.5,20.8,21.5,77,2.9,0
"Barcelona",2019-10-13 21:00:00,20.3,20,20.3,81,2.7,0
"Barcelona",2019-10-14 00:00:00,20.5,20.5,20.5,77,1.5,0
"Barcelona",2019-10-14 03:00:00,19.7,19.7,19.7,79,2,0
"Barcelona",2019-10-14 06:00:00,18.9,18.9,18.9,81,1.8,0
"Barcelona",2019-10-14 09:00:00,22,22,22,69,2.7,0
"Barcelona",2019-10-14 12:00:00,24.1,24.1,24.1,60,2.8,0
"Barcelona",2019-10-14 15:00:00,23.6,23.6,23.6,63,2.8,0.5
"Barcelona",2019-10-14 18:00:00,20.7,20.7,20.7,58,1.1,3.2
"Barcelona",2019-10-14 21:00:00,19.5,19.5,19.5,71,2.7,0
"Barcelona",2019-10-15 00:00:00,18.6,18.6,18.6,56,5.2,0.9
"Barcelona",2019-10-15 03:00:00,15.4,15.4,15.4,53,5.6,0
"Barcelona",2019-10-15 06:00:00,14.7,14.7,14.7,50,5.7,0
"Barcelona",2019-10-15 09:00:00,16.6,16.6,16.6,45,4.2,0
"Barcelona",2019-10-15 12:00:00,19.4,19.4,19.4,39,1.5,0
"Barcelona",2019-10-15 15:00:00,19.1,19.1,19.1,48,4.5,0
"Barcelona",2019-10-15 18:00:00,17.1,17.1,17.1,53,3.9,0
"Barcelona",2019-10-15 21:00:00,16.7,16.7,16.7,54,2.6,0
"Barcelona",2019-10-16 00:00:00,16,16,16,58,1.3,0
"Barcelona",2019-10-16 03:00:00,15.2,15.2,15.2,61,1.5,0
"Barcelona",2019-10-16 06:00:00,15,15,15,59,1.6,0
"Barcelona",2019-10-16 09:00:00,17.9,17.9,17.9,45,2.5,0
"Barcelona",2019-10-16 12:00:00,21.2,21.2,21.2,36,4.8,0
"Barcelona",2019-10-16 15:00:00,22.1,22.1,22.1,33,3,0
"Barcelona",2019-10-16 18:00:00,20.2,20.2,20.2,39,3.4,0
"Barcelona",2019-10-16 21:00:00,18.6,18.6,18.6,47,1.6,0
"Barcelona",2019-10-17 00:00:00,17.4,17.4,17.4,44,1,0
"Barcelona",2019-10-17 03:00:00,16.4,16.4,16.4,41,1.6,0
"Barcelona",2019-10-17 06:00:00,15.7,15.7,15.7,42,1.8,0
"Barcelona",2019-10-17 09:00:00,18.8,18.8,18.8,53,1.1,0
"Barcelona",2019-10-17 12:00:00,22.3,22.3,22.3,52,4.1,0
"Barcelona",2019-10-17 15:00:00,22.2,22.2,22.2,48,4.6,0
"Barcelona",2019-10-17 18:00:00,20.2,20.2,20.2,56,3.1,0
"Barcelona",2019-10-17 21:00:00,19.3,19.3,19.3,60,1.4,0
"Barcelona",2019-10-18 00:00:00,18.8,18.8,18.8,57,0.5,0
"Barcelona",2019-10-18 03:00:00,18.1,18.1,18.1,57,0.5,0
"Barcelona",2019-10-18 06:00:00,17.8,17.8,17.8,57,0.9,0
"Barcelona",2019-10-18 09:00:00,19.6,19.6,19.6,51,1.2,0
